Employee ID,Certification,Issue Date,Expiration Date,Status
WB10013,Alcohol Service Certified,2024-01-10,2026-10-10,Expired
WB10014,Bartender Certified,2024-02-11,2026-11-11,Active
WB10015,Compliance Current,2024-03-12,2026-10-12,Active
WB10016,Cook Certified,2024-04-13,2026-11-13,Active
WB10017,Food Safety Certified,2024-05-14,2026-10-14,Active
WB10018,Alcohol Service Certified,2024-06-15,2026-11-15,Active
WB10019,Bartender Certified,2024-07-16,2026-10-16,Active
WB10020,Compliance Current,2024-08-17,2026-11-17,Expired
WB10021,Cook Certified,2024-09-18,2026-10-18,Active
WB10022,Food Safety Certified,2024-01-10,2026-11-10,Active
WB10023,Alcohol Service Certified,2024-02-11,2026-10-11,Active
WB10024,Bartender Certified,2024-03-12,2026-11-12,Active
WB10025,Compliance Current,2024-04-13,2026-10-13,Active
WB10026,Cook Certified,2024-05-14,2026-11-14,Active
WB10027,Food Safety Certified,2024-06-15,2026-10-15,Expired
